scenario_group,scenario_name,eta_dis,row_shape_profile,case_id,ieff_slice,slice_order,h,b,t1,t2,i_single,i_sep,i_mono,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,final_min_q_b_over_q_b0,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-043,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.2,0.7,3,0.4,0.35,46733.289776183665,21042332.019144893,3.5352319969700874,0.7,0.6999999999999998,1.0,0,0.0,1.7835612995047043,4.458903248761761,1.0683949255377825,0.5769230769230769,3.213194254720136,local_buckling_softening,379,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-044,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.35,1.0,3,0.4,0.35,38636.51487572491,16372545.89467493,2.9131501225243506,1.0,1.0,1.0,0,1.0,1.7835612995047043,1.7835612995047043,1.0683949255377825,0.5769230769230769,3.024041442523591,local_buckling_softening,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-045,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.55,1.3,3,0.4,0.35,22183.98754480481,12729872.440337168,0.0,1.3,1.3,1.0,0,1.0,1.7835612995047043,0.8730719647925125,1.0683949255377825,0.5769230769230769,4.095000000002857,local_buckling_softening,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-046,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.2,0.7,5,0.4,0.35,46733.289776183665,20457230.307244573,4.33145151203171,0.7,0.7,1.0,0,0.0,1.4744750992071105,3.6861877480177765,0.933079369661479,0.5769230769230769,3.1238483848139627,local_buckling_softening,381,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-047,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.35,1.0,5,0.4,0.35,41897.43290102482,16287483.661291732,2.750175052200658,1.0,1.0,1.0,0,1.0,1.4744750992071105,1.4744750992071105,0.933079369661479,0.5769230769230769,2.7741890037449983,local_buckling_softening,367,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-048,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3503.2452487268533,75.0,0.55,1.3,5,0.4,0.35,22183.98754480481,12729872.440337168,0.0,1.3,1.3,1.0,0,1.0,1.4744750992071105,0.7217710275839001,0.933079369661479,0.5769230769230769,4.095000000002857,local_buckling_softening,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-049,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3942.7724440366255,95.0,0.2,0.7,3,0.55,0.35,60301.96976865828,32702588.834511824,4.382966781203379,0.7,0.6999999999999998,1.0,0,0.0,2.007332014934704,5.01833003733676,2.0175494322242518,1.0048076923076925,3.4386575828876076,global_instability_sensitive,379,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-050,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3942.7724440366255,95.0,0.35,1.0,3,0.55,0.35,49612.164471939206,26871276.999370463,4.086593427071236,1.0,1.0,1.0,0,0.3333333333333333,2.007332014934704,2.007332014934704,2.0175494322242518,1.0048076923076925,3.434301559731764,global_instability_sensitive,368,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-051,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3942.7724440366255,95.0,0.55,1.3,3,0.55,0.35,35462.347591236234,22902510.57551518,0.0,1.3,1.3,1.0,0,1.0,2.007332014934704,0.9826100772407641,2.0175494322242518,1.0048076923076925,4.094999999997429,global_instability_sensitive,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-052,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3942.7724440366255,95.0,0.2,0.7,5,0.55,0.35,60301.96976865828,32109704.026663564,5.341970504336263,0.7,0.7,1.0,0,0.0,1.6594669735682106,4.148667433920527,1.820139656284347,1.0048076923076925,3.3763161012818834,global_instability_sensitive,385,0,True
